"","RSV","Plot","forestType","tree_id_field","dist_to_nearest_itd","height_diff_with_nearest"
"1097","14","H10","Mixed",5,0.876325880803065,0.637002563476603
"1098","14","H10","Mixed",6,2.60337758094006,1.6309967041016
"1099","14","H10","Mixed",7,1.38402243176694,0.681004333496102
"1100","14","H10","Mixed",8,1.4778467049401,-0.956002807617203
"1101","14","H10","Mixed",10,2.44603546055507,-0.7309982299805
"1102","14","H10","Mixed",11,1.4142304379723,1.9060043334961
"1103","14","H10","Mixed",13,2.94446583987894,-1.3939956665039
"1104","14","H10","Mixed",14,2.38733834051616,6.0070022583008
"1105","14","H10","Mixed",15,1.9947978279534,-6.6580017089844
"1106","14","H10","Mixed",16,0.631254687590455,0.844993591308601
"1107","14","H10","Mixed",17,4.5842204435985,-7.5620025634766
"1108","14","H10","Mixed",18,3.87495085401506,-0.555006408691398
"1109","14","H10","Mixed",19,2.18845549657303,0.293998718261701
"1110","14","H10","Mixed",20,2.45903522829321,NA
"1111","14","H10","Mixed",21,2.18705323756356,-2.2760009765625
"1112","14","H10","Mixed",22,2.13852812238008,1.6050033569336
"1113","14","H10","Mixed",23,2.07763209999278,-0.1029968261719
"1114","14","H10","Mixed",24,0.880297594615563,0.597003173828099
"1115","14","H10","Mixed",25,2.59498087665674,2.9970031738281
"1116","14","H10","Mixed",26,0.752370937635696,1.0070022583008
"1117","14","H10","Mixed",27,2.56282491353714,-6.6580017089844
"1118","14","H10","Mixed",28,3.47757018102083,-1.0949966430664
"1119","14","H10","Mixed",29,2.03567827989788,0.469001770019499
"1120","14","H10","Mixed",41,1.89538493613758,11.5370056152344
"1121","14","H10","Mixed",42,2.70736603847234,14.1050033569336
"1122","14","H10","Mixed",43,0.924441391839091,14.3970031738281
"1123","14","H10","Mixed",44,0.997429735849825,13.5319976806641
"1124","14","H10","Mixed",45,1.44448575141559,18.6699951171875
"1125","14","H10","Mixed",46,1.48896205851058,1.7370056152344
"1126","14","H10","Mixed",47,2.14681679224953,13.7939987182617
"1127","14","H10","Mixed",48,1.68226022376522,22.4140014648438
"1128","14","H10","Mixed",49,2.93312194972056,20.4140014648438
"1129","14","H10","Mixed",50,1.22981639405989,19.1530014038086
"1130","14","H10","Mixed",51,0.993506161591563,13.6129989624023
"1131","14","H10","Mixed",53,1.56107027874327,11.4309967041016
"1132","14","H10","Mixed",54,3.58517746726967,24.3309967041016
"1133","14","H10","Mixed",55,0.838085668311437,14.0309967041016
"1134","14","H10","Mixed",56,0.678991442815465,17.2309967041016
"1135","14","H10","Mixed",57,1.2664691650709,17.8810043334961
"1136","14","H10","Mixed",58,1.42686781964802,13.2690017700195
"1137","14","H10","Mixed",59,1.33218056779398,5.1970031738281
"1138","14","H10","Mixed",60,2.53297490776906,22.2530014038086
"1139","14","H10","Mixed",61,2.99094964954278,18.0239990234375
"1140","14","H10","Mixed",62,1.22306701258198,18.6370025634766
"1141","14","H10","Mixed",63,1.79883095897764,18.0370025634766
"1142","14","H10","Mixed",64,1.46760097591194,19.2239990234375
"1143","14","H10","Mixed",65,1.12224044262485,19.8439971923828
"1144","14","H10","Mixed",66,2.20534074413901,16.0319976806641
"1145","14","H10","Mixed",67,2.16531958707464,20.8309967041016
"1146","14","H10","Mixed",68,1.73604877934187,16.7060043334961
"1147","14","H10","Mixed",69,3.21118442491522,18.3070022583008
"1148","14","H10","Mixed",70,1.883373649627,16.2449935913086
"1149","14","H10","Mixed",71,0.906546750386964,20.2530014038086
"1150","14","H10","Mixed",72,1.71292299152482,11.3419982910156
"1151","14","H10","Mixed",73,2.52968115307862,10.6379974365234
"1152","14","H10","Mixed",74,2.12394215840225,10.5309967041016
"1153","14","H10","Mixed",75,1.29120282434344,17.6620025634766
"1154","14","H10","Mixed",76,1.40887938617713,22.4129989624023
"1155","14","H10","Mixed",77,1.58571181613636,20.2810043334961
"1156","14","H10","Mixed",78,2.86634134179928,21.3050033569336
"1157","14","H10","Mixed",79,1.39262452692253,19.6970031738281
"1158","14","H10","Mixed",80,1.41636166094067,16.4970031738281
"1159","14","H10","Mixed",81,2.993386158953,20.0070022583008
"1160","14","H10","Mixed",82,2.45924215970381,17.7070022583008
"1161","14","H10","Mixed",83,1.72608060190615,0.4379974365234
"1162","14","H10","Mixed",84,3.28386863725021,11.7419982910156
"1163","14","H10","Mixed",85,0.612898437926329,15.6449935913086
"1164","14","H10","Mixed",86,1.24573873805237,19.6789978027344
"1165","14","H10","Mixed",88,2.31243670561422,NA
"1166","14","H10","Mixed",89,2.85664591516603,NA
"1167","14","H10","Mixed",90,1.408650088068,NA
"1168","14","H12","Mixed",1,1.52392082215854,0.244998168945298
"1169","14","H12","Mixed",2,0.889879731573137,-0.579003906250001
"1170","14","H12","Mixed",3,1.1929938719753,26.490007019043
"1171","14","H12","Mixed",4,2.17490954911611,0.0159973144530987
